IRIS_ID	NAME	Variety_Name_verif	COUNTRY	REGION	K9_cluster	Initial_subpop
IRIS_313-10404	K_479-2-3	K_479-2-3	India	As2a	XI-adm	indx
IRIS_313-10412	RR_272-17-829	RR_272-17-829	Indonesia	As5	XI-adm	indx
IRIS_313-10417	UPR_1201-1-20-1	UPR_1201-1-20-1	India	As2a	XI-1B	ind1B
IRIS_313-10421	WAR_72-2-1-1	WAR_72-2-1-1	SierraLeone	Af1	XI-adm	indx
IRIS_313-10422	WAR_87-7-A10-2-B-B-B-1	WAR_87-7-A10-2-B-B-B-1	SierraLeone	Af1	XI-adm	indx
IRIS_313-10423	YN_1353-3	YN_1353-3	Myanmar	As3	XI-adm	indx
IRIS_313-10428	SERAUP_50	SERAUP_50	Malaysia	As4	XI-3	ind3
IRIS_313-10429	TAICHUNG_150	TAICHUNG_150	Taiwan	As6	GJ-tmp	temp
IRIS_313-10430	GINMASARI	GINMASARI	Japan	As7	GJ-tmp	temp
IRIS_313-10433	TP_MIL_53	TP_MIL_53	Philippines	As5	XI-adm	indx
IRIS_313-10437	NORIN_21	NORIN_21	Japan	As7	GJ-tmp	temp
IRIS_313-10440	NAGKAYAT	NAGKAYAT	Philippines	As5	GJ-tmp	temp
IRIS_313-10441	CASIBON	CASIBON	Philippines	As5	XI-adm	indx
IRIS_313-10444	FORTUNA_COLORADO	FORTUNA_COLORADO	CentralAmerica	Am	GJ-trp	trop
IRIS_313-10448	BINOLAYANGUN	BINOLAYANGUN	Philippines	As5	XI-3	ind3
IRIS_313-10449	CI_7061	CI_7061	China	As6	XI-1A	ind1A
IRIS_313-10450	CHAN_KU	CHAN_KU	China	As6	XI-1A	ind1A
IRIS_313-10452	LING_TA_150	LING_TA_150	China	As6	XI-1A	ind1A
IRIS_313-10453	LU_TAO_2	LU_TAO_2	China	As6	GJ-adm	japx
IRIS_313-10458	P_168	P168	China	As6	XI-1A	ind1A
IRIS_313-10459	PI_160862-1	PI_160862-1	China	As6	GJ-adm	japx
IRIS_313-10469	KINUGASAWASE	KINUGASAWASE	Japan	As7	GJ-tmp	temp
IRIS_313-10476	PACHCHAIPERUMAL_2462-11	PACHCHAIPERUMAL_2462-11	SriLanka	As2	XI-2	ind2
IRIS_313-10477	RUSTY_LATE	RUSTY_LATE	China	As6	XI-adm	indx
IRIS_313-10480	PULUT_NANGKA_16	PULUT_NANGKA_016	Indonesia	As5	XI-adm	indx
IRIS_313-10484	PILIT_(7480)_SELN_(CI_12007)	PILIT_(7480)_SELN_(CI_12007)	Philippines	As5	XI-1A	ind1A
IRIS_313-10485	CATIBOS	CATIBOS	Philippines	As5	GJ-trp	trop
IRIS_313-10489	MOROPOTOL	MOROPOTOL	Philippines	As5	GJ-trp	trop
IRIS_313-10497	CE_IN_TSAN	CE-IN-TSAN	China	As6	XI-1A	ind1A
IRIS_313-10502	TON_ROO_SHUN	TON-ROO-SHUN	China	As6	XI-1A	ind1A
IRIS_313-10503	HA_GOO	HA-GOO	China	As6	XI-1A	ind1A
IRIS_313-10504	HSIEH_DAU	HSIEH-DAU	China	As6	XI-1A	ind1A
IRIS_313-10506	PARN_A_191	PARN_A_191	Thailand	As4	XI-3	ind3
IRIS_313-10507	HSIANG_TSENF_TAO	HSIANG_TSENF_TAO	Taiwan	As6	GJ-trp	trop
IRIS_313-10509	AMBARIKORI	AMBARIKORI	Africa	Af0	XI-3	ind3
IRIS_313-10510	MAGSIING	MAGSIING	Philippines	As5	XI-adm	indx
IRIS_313-10511	MACAN_SAPAC	MACAN_SAPAC	Philippines	As5	XI-3	ind3
IRIS_313-10513	LUBANG_PUTI	LUBANG_PUTI	0	0	XI-adm	indx
IRIS_313-10514	CAMPENA	CAMPENA	Philippines	As5	XI-adm	indx
IRIS_313-10515	TAICHUNG_WOO_GEN_2	TAICHUNG_WOO-GEN_2	Taiwan	As6	XI-1A	ind1A
IRIS_313-10516	O._SATIVA	O._SATIVA	UnitedStates	Am	XI-adm	indx
IRIS_313-10517	SIPOT	SIPOT	Philippines	As5	XI-3	ind3
IRIS_313-10518	KHAYANGYA_D_34-181	KHAYANGYA_D_34-181	Myanmar	As3	XI-adm	indx
IRIS_313-10519	ADT_22	ADT22	India	As2a	XI-2	ind2
IRIS_313-10520	NATURAL_HYBRID_C_33-8	NATURAL_HYBRID_C33-8	Myanmar	As3	XI-adm	indx
IRIS_313-10521	SANNABATHA	SANNABATHA	India	As2a	cB_(Bas)	aro
IRIS_313-10522	SUKAMANDI_1005	SUKAMANDI_1005	Indonesia	As5	admix	admix
IRIS_313-10523	PTB_18	PTB18	India	As2a	XI-adm	indx
IRIS_313-10524	KHAO_BAI_SRI	KHAO_BAI_SRI	0	0	XI-3	ind3
IRIS_313-10525	BANDANG_PUTIH_680	BANDANG_PUTIH_680	Indonesia	As5	XI-3	ind3
IRIS_313-10526	CO_2	CO_2	India	As2a	XI-2	ind2
IRIS_313-10527	ADT_12	ADT12	India	As2a	XI-2	ind2
IRIS_313-10531	HR_22	HR22	India	As2a	admix	admix
IRIS_313-10534	D_204-1	D_204-1	India	As2a	cA_(Aus)	aus
IRIS_313-10536	GAMTI_1-34	GAMTI_1-34	Tanzania	Af3	XI-2	ind2
IRIS_313-10537	KALAMON_113	KALAMON_113	Bangladesh	As2c	admix	admix
IRIS_313-10539	BADAL_76	BADAL_76	Bangladesh	As2c	XI-2	ind2
IRIS_313-10541	IACA_ESCURO	IACA_ESCURO	Guinea-Bissau	Af1	GJ-trp	trop
IRIS_313-10542	BELLO	BELLO	India	As2a	XI-2	ind2
IRIS_313-10543	DODGUI	DODGUI	India	As2a	cA_(Aus)	aus
IRIS_313-10544	DONGREM	DONGREM	India	As2a	XI-2	ind2
IRIS_313-10545	KARIA	KARIA	0	0	cA_(Aus)	aus
IRIS_313-10547	C_34-13	C_34-13	Myanmar	As3	XI-adm	indx
IRIS_313-10549	RATUA_81	RATUA_81	Pakistan	As1	cA_(Aus)	aus
IRIS_313-10550	221_BC_4-1-45-10	221_BC4-1-45-10	Indonesia	As5	XI-adm	indx
IRIS_313-10552	RL_GOPHER	RL_GOPHER	UnitedStates	Am	GJ-trp	trop
IRIS_313-10554	BONG_SEN	BONG_SEN	Vietnam	As4	XI-3	ind3
IRIS_313-10555	LUA_HUONG_T_1	LUA_HUONG_T_1	Vietnam	As4	XI-3	ind3
IRIS_313-10556	LUA_DEN_MUA	LUA_DEN_MUA	Vietnam	As4	XI-3	ind3
IRIS_313-10557	KONG_MARETH_4_T_1	KONG_MARETH_4_T1	Cambodia	As4	XI-3	ind3
IRIS_313-10558	LITCHIKIANG	LITCHIKIANG	China	As6	GJ-tmp	temp
IRIS_313-10559	FI_LAI_FENG	FI-LAI-FENG	China	As6	GJ-tmp	temp
IRIS_313-10560	TA_PAI_MAUNG	TA-PAI-MAUNG	China	As6	XI-1A	ind1A
IRIS_313-10561	NAN_TEO_14	NAN-TEO_14	China	As6	XI-1A	ind1A
IRIS_313-10562	SENG_CHUI_LIN	SENG-CHUI-LIN	China	As6	GJ-adm	japx
IRIS_313-10563	SHA_TIAO_TSAO	SHA-TIAO-TSAO	0	0	GJ-tmp	temp
IRIS_313-10564	250_KUNGANI_1	250_KUNGANI_1	Japan	As7	GJ-tmp	temp
IRIS_313-10565	221_B_36-1-1-1-1	221_B-36-1-1-1-1	Indonesia	As5	XI-adm	indx
IRIS_313-10566	221_C_391-1-3-3	221_C-391-1-3-3	Indonesia	As5	XI-adm	indx
IRIS_313-10567	AIKAWA_44	AIKAWA_44	Japan	As7	GJ-tmp	temp
IRIS_313-10568	OITA_MII_120	OITA-MII_120	Japan	As7	GJ-tmp	temp
IRIS_313-10569	BEN_KEI	BEN-KEI	Japan	As7	GJ-tmp	temp
IRIS_313-10570	CHUSEI_HONEN	CHUSEI_HONEN	Japan	As7	GJ-tmp	temp
IRIS_313-10572	KOTHMALLI_KARUPPAN	KOTHMALLI_KARUPPAN	Nigeria	Af1	XI-adm	indx
IRIS_313-10573	SOSSOKA_OULE	SOSSOKA_OULE	Mali	Af1	XI-2	ind2
IRIS_313-10574	KAILUNDO	KAILUNDO	SierraLeone	Af1	XI-adm	indx
IRIS_313-10575	KAYANGYA_D_402	KAYANGYA_D_402	Myanmar	As3	XI-adm	indx
IRIS_313-10576	BAANYALOJOPOIHUN	BAANYALOJOPOIHUN	SierraLeone	Af1	XI-2	ind2
IRIS_313-10577	IFUGAO_RICE	IFUGAO_RICE	Philippines	As5	GJ-trp	trop
IRIS_313-10578	PARAY_QIKUG_KABAYUH	PARAY_QIKUG_KABAYUH	Philippines	As5	GJ-trp	trop
IRIS_313-10580	PARAY_KINARABAW	PARAY_KINARABAW	Philippines	As5	GJ-trp	trop
IRIS_313-10581	P_PEY_SIQAT	P-PEY_SIQAT	Philippines	As5	GJ-trp	trop
IRIS_313-10582	QINOGNAS	QINOGNAS	Philippines	As5	GJ-trp	trop
IRIS_313-10583	TSAO_SIAO_PEH_TAO	TSAO-SIAO-PEH-TAO	China	As6	GJ-tmp	temp
IRIS_313-10585	UKON_NISHIKI	UKON-NISHIKI	Japan	As7	admix	admix
IRIS_313-10587	DB_3	DB3	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10592	DJ_69	DJ69	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10593	DJ_47	DJ47	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10594	DJ_29	DJ29	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10595	DL_5	DL_5	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10598	DD_126	DD126	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10600	UCP_41	UCP41	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10602	DM_49	DM49	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10603	UCP_122	UCP122	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10604	DV_2	DV2	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10605	DV_86	DV86	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10606	DV_110	DV110	Bangladesh	As2c	cA_(Aus)	aus
IRIS_313-10608	T_21	T_21	India	As2a	cA_(Aus)	aus
IRIS_313-10609	MATHOLUWA	MATHOLUWA	SriLanka	As2	XI-adm	indx
IRIS_313-10610	ALAGUSAMBA	ALAGUSAMBA	SriLanka	As2	XI-2	ind2
IRIS_313-10614	HAM_MOON	HAM_MOON	HongKong	As6	XI-adm	indx
IRIS_313-10617	KARA_SHALI	KARA_SHALI	0	0	GJ-tmp	temp
IRIS_313-10618	CHINES	CHINES	0	0	GJ-tmp	temp
IRIS_313-10619	BICCO_BRANCO	BICCO_BRANCO	0	0	GJ-trp	trop
IRIS_313-10620	R_27	R_27	Brazil	Am	GJ-trp	trop
IRIS_313-10623	SIDALI	SIDALI	Nepal	As2b	cA_(Aus)	aus
IRIS_313-10628	O._SATIVA	O._SATIVA	India	As2a	XI-2	ind2
IRIS_313-10631	SHINCHIKU_IKU_97	SHINCHIKU-IKU_97	Taiwan	As6	GJ-tmp	temp
IRIS_313-10640	SR_26_B	SR26_B	India	As2a	XI-2	ind2
IRIS_313-10642	SACHIKAZE	SACHIKAZE	Japan	As7	GJ-tmp	temp
IRIS_313-10644	BUSIYETAN	BUSIYETAN	Philippines	As5	GJ-trp	trop
IRIS_313-10645	LENKIBE-N	LENKIBE-N	Philippines	As5	GJ-trp	trop
IRIS_313-10648	PREAH_SIHANOUK	PREAH_SIHANOUK	Cambodia	As4	XI-3	ind3
IRIS_313-10649	RACION_1	RACION_1	Philippines	As5	GJ-trp	trop
IRIS_313-10650	NAHNG_PRAYAH_132	NAHNG_PRAYAH_132	Thailand	As4	XI-3	ind3
IRIS_313-10651	PHOU_SAO_LEUM_NYANG	Phou_sao_leum_nyang	Laos	As4	XI-adm	indx
IRIS_313-10652	CHAO_PEUAK_DENG	Chao_peuak_deng	Laos	As4	XI-3	ind3
IRIS_313-10653	MAK_KHEUA	Mak_kheua	Laos	As4	GJ-sbtrp	subtrop
IRIS_313-10654	KA_SAEN	Ka_saen	Laos	As4	XI-3	ind3
IRIS_313-10655	EA_HOUM	Ea_houm	Laos	As4	XI-adm	indx
IRIS_313-10656	NOK_KOD	Nok_kod	Laos	As4	GJ-sbtrp	subtrop
IRIS_313-10657	THANGONE	THANGONE	Laos	As4	GJ-sbtrp	subtrop
IRIS_313-10659	LONG_MA	LONG_MA	Laos	As4	XI-3	ind3
IRIS_313-10660	LEP_HED	Lep_hed	Laos	As4	GJ-sbtrp	subtrop
IRIS_313-10661	SAMBA	SAMBA	SriLanka	As2	XI-2	ind2
IRIS_313-10662	KAHATAWEE	KAHATAWEE	SriLanka	As2	XI-2	ind2
IRIS_313-10664	ARC_6052	ARC_6052	India	As2e	XI-2	ind2
IRIS_313-10666	ARC_6218	ARC_6218	India	As2e	XI-adm	indx
IRIS_313-10667	ARC_7236	ARC_7236	India	As2e	XI-2	ind2
IRIS_313-10668	ARC_7255	ARC_7255	India	As2e	XI-adm	indx
IRIS_313-10670	ARC_10296	ARC_10296	India	As2e	cB_(Bas)	aro
IRIS_313-10671	ARC_10581	ARC_10581	India	As2e	XI-adm	indx
IRIS_313-10673	ARC_10843	ARC_10843	India	As2e	cA_(Aus)	aus
IRIS_313-10674	ARC_10846	ARC_10846	India	As2e	XI-adm	indx
IRIS_313-10675	ARC_10905	ARC_10905	India	As2e	XI-adm	indx
IRIS_313-10676	ARC_10916	ARC_10916	India	As2e	admix	admix
IRIS_313-10677	DEWAMINORI	DEWAMINORI	Japan	As7	GJ-tmp	temp
IRIS_313-10678	MAKALIOKA	MAKALIOKA	Madagascar	Mad	XI-2	ind2
IRIS_313-10679	KHAI_DO	Khai_do	Laos	As4	GJ-sbtrp	subtrop
IRIS_313-10680	MAK_NAM	Mak_nam	Laos	As4	XI-3	ind3
IRIS_313-10681	KHAN_THAI_DO	Khan_thai_do	Laos	As4	XI-3	ind3
IRIS_313-10682	PA_KHENG	PA_KHENG	Laos	As4	XI-3	ind3
IRIS_313-10683	NGAN_TIA	Ngan_tia	Laos	As4	XI-3	ind3
IRIS_313-10684	BONGOLON	BONGOLON	Malaysia	As4	XI-3	ind3
IRIS_313-10687	PADI_PULUT	PADI_PULUT	Malaysia	As4	XI-3	ind3
IRIS_313-10688	PADI_TIMBUN	PADI_TIMBUN	Malaysia	As4	XI-3	ind3
IRIS_313-10689	SIKEP_BATU	SIKEP_BATU	Indonesia	As5	GJ-trp	trop
IRIS_313-10690	LARONDJAWI	LARONDJAWI	Indonesia	As5	XI-3	ind3
IRIS_313-10692	RANDAH_SASAK	RANDAH_SASAK	Indonesia	As5	XI-3	ind3
IRIS_313-10693	SEREH	SEREH	Indonesia	As5	GJ-trp	trop
IRIS_313-10694	HAJI_HARUN_38	HAJI_HARUN_38	Malaysia	As4	XI-3	ind3
IRIS_313-10695	TOLIL_14	TOLIL_14	Malaysia	As4	XI-3	ind3
IRIS_313-10697	SIAM_ER_16	SIAM_ER_16	Malaysia	As4	XI-3	ind3
IRIS_313-10698	RADIN_GOI	RADIN_GOI	Malaysia	As4	XI-3	ind3
IRIS_313-10699	BUJANG	BUJANG	Malaysia	As4	XI-3	ind3
IRIS_313-10700	CHANTEK_145	CHANTEK_145	Malaysia	As4	XI-3	ind3
IRIS_313-10701	RADIN_EBOS_35	RADIN_EBOS_35	Malaysia	As4	XI-3	ind3
IRIS_313-10702	JAROM_EMAS	JAROM_EMAS	Malaysia	As4	XI-3	ind3
IRIS_313-10703	PADI_ADONG_DUMARAT	PADI_ADONG_DUMARAT	Malaysia	As4	GJ-trp	trop
IRIS_313-10704	PADI_DARAWAL	PADI_DARAWAL	Malaysia	As4	GJ-trp	trop
IRIS_313-10705	PADI_PULOT_MELAYANG	PADI_PULOT_MELAYANG	Malaysia	As4	XI-adm	indx
IRIS_313-10706	ANAK_CHINA	ANAK_CHINA	Malaysia	As4	XI-3	ind3
IRIS_313-10707	ANAK_DIDEK	ANAK_DIDEK	Malaysia	As4	XI-3	ind3
IRIS_313-10708	B_6311_A_5553-16-2	B_6311_A_5553-16-2	UnitedStates	Am	GJ-trp	trop
IRIS_313-10710	PINDE_GOGO_WIERIE	PINDE_GOGO_WIERIE	Suriname	Am	GJ-trp	trop
IRIS_313-10711	7_AC	7_AC	Liberia	Af1	GJ-trp	trop
IRIS_313-10712	KOTO_OURA_S_5	KOTO_OURA_S_5	IvoryCoast	Af1	GJ-trp	trop
IRIS_313-10715	SUDU_KARAYAL	SUDU_KARAYAL	SriLanka	As2	XI-2	ind2
IRIS_313-10716	MURUNGA	MURUNGA	SriLanka	As2	XI-2	ind2
IRIS_313-10717	PERIYA_VELLAI	PERIYA_VELLAI	SriLanka	As2	XI-2	ind2
IRIS_313-10718	KARUTHA_SEENATI	KARUTHA_SEENATI	SriLanka	As2	cA_(Aus)	aus
IRIS_313-10719	VELLAI_KOLOMBAN	VELLAI_KOLOMBAN	SriLanka	As2	XI-2	ind2
IRIS_313-10720	HEENDIKWEE	HEENDIKWEE	SriLanka	As2	XI-adm	indx
IRIS_313-10721	HALSUDU_HEENATI	HALSUDU_HEENATI	SriLanka	As2	XI-2	ind2
IRIS_313-10722	GODAWEL	GODAWEL	SriLanka	As2	GJ-trp	trop
IRIS_313-10723	MOND_BA	MOND-BA	Senegal	Af1	XI-2	ind2
IRIS_313-10724	MOUSOIR	MOUSOIR	Senegal	Af1	XI-3	ind3
IRIS_313-10725	ERNEST	ERNEST	Senegal	Af1	XI-adm	indx
IRIS_313-10726	POTO_BALA	POTO_BALA	Senegal	Af1	XI-3	ind3
IRIS_313-10727	KOUPENEDOU_KOUBOURY	KOUPENEDOU_KOUBOURY	Senegal	Af1	XI-3	ind3
IRIS_313-10728	OUSSANTHIABA	OUSSANTHIABA	Senegal	Af1	XI-adm	indx
IRIS_313-10729	MALOGBANA	MALOGBANA	IvoryCoast	Af1	admix	admix
IRIS_313-10730	NANIBRE	NANIBRE	IvoryCoast	Af1	GJ-trp	trop
IRIS_313-10731	BARKHE_TAULI	BARKHE_TAULI	Nepal	As2b	XI-1A	ind1A
IRIS_313-10732	MADHUWA_KARIA	MADHUWA_KARIA	Nepal	As2b	cB_(Bas)	aro
IRIS_313-10733	MOTANGE_PAHELLO_LAULE	MOTANGE_PAHELLO_LAULE	Nepal	As2b	XI-adm	indx
IRIS_313-10734	DEVARASI	DEVARASI	Nepal	As2b	cA_(Aus)	aus
IRIS_313-10735	LAL_SAR	LAL_SAR	Nepal	As2b	cA_(Aus)	aus
IRIS_313-10736	RERM_BILASH	RERM_BILASH	Nepal	As2b	cA_(Aus)	aus
IRIS_313-10737	GHAIYA	GHAIYA	Nepal	As2b	cA_(Aus)	aus
IRIS_313-10738	ANDEL_WELUT	ANDEL_WELUT	Indonesia	As5	admix	admix
IRIS_313-10739	GOGO	GOGO	Indonesia	As5	XI-adm	indx
IRIS_313-10740	KETAN_PAPAH_AREN	KETAN_PAPAH_AREN	Indonesia	As5	GJ-trp	trop
IRIS_313-10741	KETAN_PELERN	KETAN_PELERN	Indonesia	As5	GJ-trp	trop
IRIS_313-10742	MAMAS	MAMAS	Indonesia	As5	XI-3	ind3
IRIS_313-10743	SERAJU	SERAJU	Indonesia	As5	GJ-trp	trop
IRIS_313-10744	SIPON	SIPON	Indonesia	As5	GJ-trp	trop
IRIS_313-10745	SLOBOK	SLOBOK	Indonesia	As5	GJ-trp	trop
IRIS_313-10746	TJEMPO_KREMBUNG	TJEMPO_KREMBUNG	Indonesia	As5	GJ-trp	trop
IRIS_313-10747	TJOKRON	TJOKRON	Indonesia	As5	GJ-trp	trop
IRIS_313-10748	LUA_DUC	LUA_DUC	Vietnam	As4	XI-adm	indx
IRIS_313-10749	MINH_SOC_(CAMBODIA)	MINH-SOC(CAMBODIA)	Vietnam	As4	XI-3	ind3
IRIS_313-10750	TRANG_LUA	TRANG_LUA	Vietnam	As4	XI-3	ind3
IRIS_313-10751	LUA_CHUM	LUA_CHUM	Vietnam	As4	XI-adm	indx
IRIS_313-10752	O._SATIVA	O._SATIVA	UnitedStates	Am	GJ-trp	trop
IRIS_313-10753	ZACATEPEC	ZACATEPEC	UnitedStates	Am	XI-1B	ind1B
IRIS_313-10754	KH_998	KH998	India	As2a	XI-adm	indx
IRIS_313-10755	NEP_BA_BONG_TO	NEP_BA_BONG_TO	Vietnam	As4	XI-3	ind3
IRIS_313-10756	DAMODAR	DAMODAR	India	As2a	XI-2	ind2
IRIS_313-10757	PEUAK_NAM_43	PEUAK_NAM_43	Thailand	As4	XI-3	ind3
IRIS_313-10758	AEN_METAN	AEN_METAN	Indonesia	As5	GJ-trp	trop
IRIS_313-10759	ANDEL	ANDEL	Indonesia	As5	GJ-trp	trop
IRIS_313-10760	ATJEH	ATJEH	Indonesia	As5	XI-3	ind3
IRIS_313-10761	BALIK_SEMAH	BALIK_SEMAH	Indonesia	As5	GJ-trp	trop
IRIS_313-10762	BANDI	BANDI	Indonesia	As5	XI-3	ind3
IRIS_313-10765	CERE_KAWAT	CERE_KAWAT	Indonesia	As5	GJ-trp	trop
IRIS_313-10766	DJALAWARA	DJALAWARA	Indonesia	As5	GJ-trp	trop
IRIS_313-10767	DJANGGOT	DJANGGOT	Indonesia	As5	GJ-trp	trop
IRIS_313-10768	GADABUNG_(GUNDIL)	GADABUNG(GUNDIL)	Indonesia	As5	XI-3	ind3
IRIS_313-10769	GAJA_BARU	GAJA_BARU	Indonesia	As5	XI-adm	indx
IRIS_313-10770	GANDAMANA	GANDAMANA	Indonesia	As5	GJ-trp	trop
IRIS_313-10771	GOGO_RAJAPAN	GOGO_RAJAPAN	Indonesia	As5	GJ-trp	trop
IRIS_313-10772	GOJOT	GOJOT	Indonesia	As5	XI-3	ind3
IRIS_313-10773	HAWARA_DJEDAH	HAWARA_DJEDAH	Indonesia	As5	GJ-trp	trop
IRIS_313-10774	HEGAR_MANAH	HEGAR_MANAH	Indonesia	As5	XI-adm	indx
IRIS_313-10775	INDEL	INDEL	Indonesia	As5	XI-adm	indx
IRIS_313-10776	KABADOKA	KABADOKA	Indonesia	As5	GJ-trp	trop
IRIS_313-10777	KAMAS	KAMAS	Indonesia	As5	XI-3	ind3
IRIS_313-10778	KENTJANA_MAHANG	KENTJANA_MAHANG	Indonesia	As5	XI-3	ind3
IRIS_313-10779	KERAN_DUKUH	KERAN_DUKUH	Indonesia	As5	XI-3	ind3
IRIS_313-10780	KETAN_LALER	KETAN_LALER	Indonesia	As5	GJ-trp	trop
IRIS_313-10781	KETAN_MLANTING	KETAN_MLANTING	Indonesia	As5	GJ-trp	trop
IRIS_313-10782	KETAN_NARIS	KETAN_NARIS	Indonesia	As5	XI-3	ind3
IRIS_313-10783	KETAN_OSOG	KETAN_OSOG	Indonesia	As5	GJ-trp	trop
IRIS_313-10784	KETAN_SAPI	KETAN_SAPI	Indonesia	As5	GJ-trp	trop
IRIS_313-10785	KETAN_SLAWI	KETAN_SLAWI	Indonesia	As5	GJ-trp	trop
IRIS_313-10786	KETAN_URANG	KETAN_URANG	Indonesia	As5	XI-3	ind3
IRIS_313-10787	KWATIK_PUTIH	KWATIK_PUTIH	Indonesia	As5	XI-3	ind3
IRIS_313-10788	LEMUNGSIR	LEMUNGSIR	Indonesia	As5	GJ-trp	trop
IRIS_313-10789	LENGGANG_GENUK_BULU	LENGGANG_GENUK_BULU	Indonesia	As5	GJ-trp	trop
IRIS_313-10790	LOLAWAJI	LOLAWAJI	Indonesia	As5	GJ-trp	trop
IRIS_313-10791	MANGSUR	MANGSUR	Indonesia	As5	XI-3	ind3
IRIS_313-10792	MATIANG	MATIANG	Indonesia	As5	XI-3	ind3
IRIS_313-10793	MELIK	MELIK	Indonesia	As5	GJ-trp	trop
IRIS_313-10794	MENDUNGAN	MENDUNGAN	Indonesia	As5	GJ-trp	trop
IRIS_313-10795	MLATI	MLATI	Indonesia	As5	GJ-trp	trop
IRIS_313-10796	MOLOG	MOLOG	Indonesia	As5	GJ-trp	trop
IRIS_313-10797	NARUN	NARUN	Indonesia	As5	XI-3	ind3
IRIS_313-10798	NOGO_BELE_2	NOGO-BELE_2	Indonesia	As5	GJ-trp	trop
IRIS_313-10799	PAE_ONGGA	PAE_ONGGA	Indonesia	As5	GJ-trp	trop
IRIS_313-10800	PALOTAN_MELATI	PALOTAN_MELATI	Indonesia	As5	GJ-trp	trop
IRIS_313-10801	PARE_BUWUN	PARE_BUWUN	Indonesia	As5	GJ-trp	trop
IRIS_313-10802	PEUTEUJ	PEUTEUJ	Indonesia	As5	GJ-trp	trop
IRIS_313-10803	PLAMPEYAN	PLAMPEYAN	Indonesia	As5	GJ-trp	trop
IRIS_313-10804	PUAK	PUAK	Indonesia	As5	XI-3	ind3
IRIS_313-10805	PULO	PULO	Indonesia	As5	GJ-trp	trop
IRIS_313-10806	RADEN_DJAWA_(GUNDIL)	RADEN_DJAWA(GUNDIL)	Indonesia	As5	XI-3	ind3
IRIS_313-10807	RANDA_KUNING	RANDA_KUNING	Indonesia	As5	XI-3	ind3
IRIS_313-10808	RANTE	RANTE	Indonesia	As5	GJ-trp	trop
IRIS_313-10809	SAMPANG_KUNING	SAMPANG_KUNING	Indonesia	As5	GJ-trp	trop
IRIS_313-10810	SEGON_BENGGALA	SEGON_BENGGALA	Indonesia	As5	XI-3	ind3
IRIS_313-10811	SEMPOR	SEMPOR	Indonesia	As5	XI-adm	indx
IRIS_313-10812	SERUNEN	SERUNEN	Indonesia	As5	XI-3	ind3
IRIS_313-10813	SIAM_BARABAI	SIAM_BARABAI	Indonesia	As5	XI-3	ind3
IRIS_313-10814	SIBORAS	SIBORAS	Indonesia	As5	XI-3	ind3
IRIS_313-10815	SIDJANGGUK	SIDJANGGUK	Indonesia	As5	GJ-trp	trop
IRIS_313-10816	SIDJERO_GUNDIL	SIDJERO_GUNDIL	Indonesia	As5	GJ-trp	trop
IRIS_313-10817	SLAMET	SLAMET	Indonesia	As5	GJ-trp	trop
IRIS_313-10818	TJEMPO_PENDEK_UNTUNG	TJEMPO_PENDEK-UNTUNG	Indonesia	As5	XI-3	ind3
IRIS_313-10819	TJERE_ENER	TJERE_ENER	Indonesia	As5	XI-3	ind3
IRIS_313-10820	TJERE_MANGGA	TJERE_MANGGA	Indonesia	As5	XI-3	ind3
IRIS_313-10821	TJ_PERAK	TJ._PERAK	Indonesia	As5	XI-3	ind3
IRIS_313-10822	UNGGAS	UNGGAS	Indonesia	As5	XI-3	ind3
IRIS_313-10823	UTRI_DELI	UTRI_DELI	Indonesia	As5	XI-3	ind3
IRIS_313-10824	HOING_CANTEL	HOING_CANTEL	Indonesia	As5	XI-3	ind3
IRIS_313-10825	KEMA_5	KEMA_5	0	0	XI-adm	indx
IRIS_313-10827	BINARITOS	BINARITOS	Philippines	As5	GJ-trp	trop
IRIS_313-10828	IKOGAN	IKOGAN	Philippines	As5	GJ-trp	trop
IRIS_313-10829	INAMBOG	INAMBOG	Philippines	As5	GJ-trp	trop
IRIS_313-10830	INAPORAONAN	INAPORAONAN	Philippines	As5	GJ-trp	trop
IRIS_313-10831	MALANDI_2	MALANDI_2	Philippines	As5	GJ-trp	trop
IRIS_313-10832	MALASAY	MALASAY	Philippines	As5	GJ-trp	trop
IRIS_313-10833	EDAKKADAN_0-69-27	EDAKKADAN_0-69-27	India	As2a	XI-2	ind2
IRIS_313-10834	IARI_11387	IARI_11387	India	As2a	GJ-sbtrp	subtrop
IRIS_313-10835	PERUNEL_0-69-18	PERUNEL_0-69-18	India	As2a	XI-2	ind2
IRIS_313-10836	VELLA_PERUVAZHA_0-68-12	VELLA_PERUVAZHA_0-68-12	India	As2a	XI-2	ind2
